iter	Passed	Remaining
589	42175	29308
590	42235	29228
591	42309	29159
592	42368	29079
593	42432	29003
594	42498	28927
595	42562	28850
596	42632	28778
597	42696	28702
598	42778	28638
599	42841	28561
600	42905	28484
601	42978	28414
602	43047	28341
603	43114	28267
604	43187	28197
605	43256	28123
606	43334	28056
607	43489	28039
608	43695	28054
609	43814	28012
610	43960	27987
611	44021	27909
612	44098	27840
613	44160	27762
614	44226	27686
615	44307	27620
616	44386	27552
617	44452	27476
618	44528	27407
619	44591	27330
620	44657	27254
621	44721	27178
622	44787	27102
623	44854	27027
624	44914	26948
625	44982	26874
626	45054	26803
627	45115	26724
628	45170	26642
629	45242	26571
630	45320	26502
631	45385	26426
632	45456	26354
633	45523	26280
634	45595	26208
635	45665	26135
636	45735	26063
637	45800	25987
638	45880	25920
639	45942	25842
640	46018	25773
641	46086	25699
642	46150	25623
643	46226	25553
644	46283	25474
645	46349	25399
646	46421	25327
647	46493	25255
648	46565	25183
649	46634	25110
650	46699	25035
651	46774	24965
652	46852	24897
653	46931	24829
654	47004	24758
655	47079	24688
656	47142	24611
657	47207	24536
658	47272	24461
659	47358	24396
660	47434	24327
661	47500	24252
662	47568	24178
663	47638	24105
664	47708	24033
665	47788	23966
666	47849	23888
667	47922	23817
668	47994	23746
669	48064	23673
670	48140	23604
671	48209	23530
672	48288	23462
673	48353	23387
674	48412	23309
675	48492	23241
676	48561	23169
677	48626	23093
678	48690	23018
679	48764	22948
680	48840	22878
681	48911	22806
682	48979	22732
683	49040	22655
684	49104	22580
685	49171	22507
686	49244	22435
687	49312	22362
688	49374	22286
689	49432	22208
690	49499	22135
691	49578	22066
692	49653	21996
693	49724	21924
694	49786	21848
695	49845	21771
696	49918	21700
697	49990	21629
698	50060	21556
699	50129	21484
700	50193	21409
701	50263	21337
702	50334	21265
703	50409	21194
704	50487	21125
705	50556	21053
706	50632	20983
707	50693	20907
708	50777	20840
709	50842	20766
710	50922	20698
711	50994	20627
712	51072	20557
713	51136	20483
714	51201	20408
715	51266	20334
716	51336	20262
717	51404	20189
718	51468	20114
719	51529	20039
720	51594	19965
721	51663	19892
722	51727	19818
723	51800	19746
724	51862	19672
725	51923	19596
726	52004	19528
727	52066	19453
728	52141	19383
729	52214	19312
730	52269	19234
731	52342	19163
732	52415	19092
733	52481	19019
734	52560	18950
735	52622	18875
736	52684	18800
737	52752	18727
738	52815	18653
739	52890	18583
740	52959	18510
741	53031	18439
742	53090	18363
743	53156	18290
744	53219	18216
745	53300	18147
746	53369	18075
747	53448	18006
748	53516	17934
749	53590	17863
750	53650	17788
751	53723	17717
752	53790	17644
753	53870	17575
754	53947	17506
755	54015	17433
756	54080	17359
757	54149	17287
758	54225	17217
759	54301	17147
760	54369	17075
761	54441	17004
762	54505	16930
763	54587	16862
764	54656	16789
765	54725	16717
766	54789	16644
767	54861	16572
768	54942	16504
769	55010	16431
770	55093	16363
771	55161	16291
772	55229	16218
773	55296	16146
774	55363	16073
775	55441	16003
776	55508	15931
777	55576	15858
778	55642	15785
779	55725	15717
780	55787	15643
781	55860	15572
782	55933	15501
783	56005	15430
784	56074	15358
785	56153	15288
786	56219	15215
787	56278	15140
788	56353	15070
789	56413	14995
790	56478	14922
791	56543	14849
792	56616	14778
793	56680	14705
794	56735	14629
795	56812	14560
796	56884	14488
797	56965	14419
798	57033	14347
799	57102	14275
800	57167	14202
801	57241	14131
802	57302	14057
803	57381	13988
804	57437	13913
805	57513	13843
806	57578	13770
807	57638	13696
808	57712	13625
809	57786	13554
810	57855	13482
811	57910	13407
812	57993	13339
813	58070	13269
814	58135	13196
815	58209	13125
816	58277	13053
817	58334	12979
818	58407	12908
819	58481	12837
820	58544	12764
821	58611	12692
822	58685	12621
823	58763	12551
824	58830	12479
825	58902	12408
826	58982	12338
827	59057	12268
828	59134	12197
829	59318	12149
830	59455	12091
